Treatment,Nucleus Mean Intensity,Nucleus Area Size,Nucleus Roundness,Nucleus Texture Variance,Texture_Variance_DNA_3_00_256,Texture_Variance_DNA_3_01_256,Texture_Variance_DNA_3_02_256,Texture_Variance_DNA_3_03_256
control,0.023172481,20136,0.844092044,1.10304688,1.104544829,1.093778922,1.110690414,1.103173355
control,0.021246422,12366,0.714712845,0.405199041,0.407930727,0.399805874,0.407244305,0.405815256
control,0.0253386,19585,0.564295736,1.144924771,1.17025367,1.108135679,1.16104212,1.140267617
control,0.024584523,20704,0.330247897,4.03804491,4.036777849,4.043923457,4.037960766,4.033517568
control,0.026493384,22149,0.614786323,2.739551972,2.736685505,2.736932878,2.7516862,2.732903306
control,0.049479719,17580,0.610724714,6.067173672,6.104443297,5.973162937,6.124309263,6.066779191
control,0.035482352,14607,0.508195691,1.744952369,1.781856322,1.723293602,1.762713734,1.711945817
control,0.043674887,21989,0.49836786,3.053398668,3.071850248,3.041309243,3.051393988,3.049041191
control,0.038201347,19264,0.248548618,3.943168922,3.989482542,3.923691241,3.962889065,3.896612841
control,0.022402463,17280,0.561066054,0.959983466,0.972639919,0.949646968,0.962061929,0.955585047
control,0.041067906,12626,0.654962591,4.175691712,4.238085799,4.075551624,4.220142291,4.168987135
control,0.044702634,13014,0.685481233,4.060859857,4.07262878,4.015873924,4.175233568,3.979703157
control,0.029929916,17337,0.430548651,0.908846076,0.915579328,0.903272787,0.913968739,0.902563451
control,0.032704106,11807,0.599989787,0.837069838,0.84260327,0.829028874,0.838135329,0.83851188
control,0.037176118,15516,0.822479563,3.448310287,3.442362639,3.359215417,3.516824002,3.47483909
control,0.035073882,14285,0.485998847,1.788495371,1.81919471,1.784561504,1.809782502,1.740442768
control,0.039657694,16705,0.78771094,4.784415194,4.792257109,4.687980423,4.855298763,4.802124482
control,0.035668199,12607,0.56543483,1.937915161,1.954617664,1.931242716,1.981569955,1.884230308
control,0.027940694,15880,0.541362527,1.020044888,1.02527881,1.010464879,1.032429834,1.012006029
control,0.027827877,19438,0.675686457,1.05154826,1.065374671,1.042607592,1.05326896,1.044941818
control,0.028586887,15039,0.773549281,0.82530149,0.827177268,0.827858656,0.823925313,0.822244724
control,0.034984831,12229,0.333600403,8.743047356,8.764839399,8.712408117,8.755743857,8.739198053
control,0.030563961,14068,0.710888843,1.262645185,1.270964648,1.264981166,1.275184389,1.239450536
control,0.035146484,11813,0.488655859,3.364201169,3.404258009,3.382328829,3.41119828,3.259019557
control,0.030685991,14043,0.781974989,1.323113183,1.322399806,1.338892094,1.351127944,1.280032891
control,0.028035619,13010,0.729874894,1.372663542,1.371970243,1.373727056,1.372611429,1.372345442
control,0.031133094,14433,0.606057822,1.430205193,1.451715442,1.40406402,1.428885382,1.43615593
